system,run_id,max_cpus,host_system,payload_size,iterations,workers,category,total_ops,throughput_ops_sec,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_min_ms,latency_max_ms,cpu_db_mean_perc,cpu_client_mean_perc,mem_db_mean_mib,mem_client_mean_mib,io_db_read_mib,io_db_write_mib,io_client_read_mib,io_client_write_mib,resource_samples
berkeleydb,2026-07-09-02-29-05,1,wsl,small,0,1,mix_50W_50R,20000,270849.7,0.0036920845,0.005009999,0.006984502,0.013206097,0.0013130012,0.115477,0.0,91.97,0.0,3023.872,0.0,0.0,0.0,0.0,1
berkeleydb,2026-07-09-02-29-05,1,wsl,small,0,1,mix_90W_10R,10000,90289.11,0.011075533,0.00525,0.034532998,0.07710332,0.0018040009,23.196112,0.0,91.97,0.0,3023.872,0.0,0.0,0.0,0.0,1
berkeleydb,2026-07-09-02-29-05,1,wsl,small,0,2,mix_10W_90R,20000,126491.09,0.014980748,0.0029250004,0.0283275,0.10077901,0.0017029997,36.47685,0.0,96.03666666666668,0.0,3044.0106666666666,0.0,0.0,0.10000000000000142,0.0,3
berkeleydb,2026-07-09-02-29-05,1,wsl,small,0,2,mix_50W_50R,40000,32454.37,0.060735915,0.017254,0.15661995,0.2323473,0.0013220015,48.448334,0.0,96.03666666666668,0.0,3044.0106666666666,0.0,0.0,0.10000000000000142,0.0,3
berkeleydb,2026-07-09-02-29-05,1,wsl,small,0,2,mix_90W_10R,20000,31346.47,0.06180763,0.0180505,0.1366743,0.24133532,0.0018939972,37.405792,0.0,96.03666666666668,0.0,3044.0106666666666,0.0,0.0,0.10000000000000142,0.0,3
berkeleydb,2026-07-09-02-29-05,1,wsl,small,0,4,mix_10W_90R,40000,65145.363,0.045019127,0.0065230015,0.0874345,0.29866633,0.0016830018,60.4518,0.0,99.411,0.0,3085.2096,0.0,0.0,0.0,1024.0,10
berkeleydb,2026-07-09-02-29-05,1,wsl,small,0,4,mix_50W_50R,80000,10469.102,0.3702803,0.262324,0.5425505,0.7902984,0.0013829995,68.694626,0.0,99.411,0.0,3085.2096,0.0,0.0,0.0,1024.0,10
berkeleydb,2026-07-09-02-29-05,1,wsl,small,0,4,mix_90W_10R,40000,15779.562,0.22218381,0.042895,0.35353196,0.62044567,0.0017630009,60.533875,0.0,99.411,0.0,3085.2096,0.0,0.0,0.0,1024.0,10
berkeleydb,2026-07-09-02-29-05,1,wsl,small,0,8,mix_10W_90R,80000,40205.406,0.13296664,0.009168001,0.1988703,0.53156984,0.0016929989,80.08522,0.0,99.8796,0.0,3164.40576,0.0,0.0,4.099999999999998,0.0,25
berkeleydb,2026-07-09-02-29-05,1,wsl,small,0,8,mix_50W_50R,160000,7848.9043,0.9192878,0.685203,1.19087,2.0909798,0.0017240017,89.29216,0.0,99.8796,0.0,3164.40576,0.0,0.0,4.099999999999998,0.0,25
