system,run_id,max_cpus,host_system,payload_size,iterations,workers,category,total_ops,throughput_ops_sec,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_min_ms,latency_max_ms,cpu_db_mean_perc,cpu_client_mean_perc,mem_db_mean_mib,mem_client_mean_mib,io_db_read_mib,io_db_write_mib,io_client_read_mib,io_client_write_mib,resource_samples
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,0,4,mix_10W_90R,40000,121087.836,0.020916777,0.00433,0.02849945,0.06683901,0.0018849996,68.584755,0.0,102.4325,0.0,771.125,0.0,0.0,0.10000000000000142,0.0,4
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,0,4,mix_50W_50R,80000,50346.223,0.07649745,0.050078,0.090097055,0.132143,0.002374,76.977844,0.0,102.4325,0.0,771.125,0.0,0.0,0.10000000000000142,0.0,4
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,0,4,mix_90W_10R,40000,36149.3,0.09673905,0.026331,0.094078,0.1556107,0.0027939996,64.28195,0.0,102.4325,0.0,771.125,0.0,0.0,0.10000000000000142,0.0,4
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,0,8,mix_10W_90R,80000,109550.13,0.056241345,0.005657,0.053011,0.1206187,0.001885,83.02697,0.0,94.238,0.0,817.3100000000001,0.0,0.0,0.0,0.0,10
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,0,8,mix_50W_50R,160000,34502.703,0.20283993,0.125647,0.2376785,0.336433,0.001886,89.00428,0.0,94.238,0.0,817.3100000000001,0.0,0.0,0.0,0.0,10
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,0,8,mix_90W_10R,80000,29064.242,0.21319458,0.038134,0.154003,0.29334068,0.002794,82.36159,0.0,94.238,0.0,817.3100000000001,0.0,0.0,0.0,0.0,10
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,10000,1,delete,10000,104711.42,0.009550056,0.007543,0.01327,0.01934769,0.006076,6.523575,0.0,97.33,0.0,101.0,0.0,0.0,0.0,0.0,1
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,10000,1,insert,10000,117308.72,0.008524516,0.006705,0.02235,0.026611,0.005587,0.093032,0.0,94.23,0.0,69.35,0.0,0.0,0.0,0.0,1
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,10000,1,read,10000,261576.36,0.0038229756,0.003353,0.006286,0.011105,0.002305,0.043233,0.0,88.68,0.0,76.67,0.0,0.0,0.0,0.0,1
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,10000,1,update,10000,133617.81,0.007484032,0.006705,0.011594,0.01906869,0.004889,0.106791,0.0,97.79,0.0,77.49,0.0,0.0,0.0,0.0,1
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,10000,2,delete,20000,52495.754,0.03589433,0.019556,0.039112,0.05413038,0.006147,45.20187,0.0,101.15,0.0,97.66,0.0,0.0,0.0,0.0,1
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,10000,2,insert,20000,59170.594,0.032963518,0.01774,0.045956,0.073826805,0.005727,50.659805,0.0,98.58500000000001,0.0,100.85,0.0,0.0,0.0,9.500000000000004,2
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,10000,2,read,20000,207442.92,0.007157291,0.003771,0.008591,0.015295,0.001816,50.757538,0.0,99.84,0.0,100.7,0.0,0.0,0.0,0.0,1
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,10000,2,update,20000,86759.57,0.020655673,0.010128,0.029823,0.03995,0.005238,45.430676,0.0,100.41,0.0,92.12,0.0,0.0,0.0,0.0,1
